session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,uid
0,60,60,265,39,39,69,160,69,67,67,100
1,72,15,207,574,534,23,37,23,80,85,100
2,52,37,23,37,23,23,39,39,69,69,100
3,160,69,69,160,39,69,160,39,39,81,100
4,164,310,164,167,182,161,161,167,61,81,100
5,43,39,39,67,207,3,2,15,72,15,100
6,37,23,4,2,15,15,15,15,15,2,100
7,21,27,897,30,6,3,10,33,9,80,100
8,85,52,9,9,23,37,23,9,6,9,100
9,9,60,60,265,69,160,69,39,39,67,100
10,69,69,160,15,72,3,2,15,15,561,100
11,561,207,3,2,2,37,23,23,561,561,100
12,2,6,3,2,9,80,85,52,9,9,100
13,23,37,23,9,9,39,39,39,67,2086,100
14,13,38,38,72,15,38,19,13,1,38,100
15,15,13,38,19,13,1,37,23,23,23,100
16,38,19,13,19,38,7,19,38,13,1,100
17,13,38,7,1,13,1,13,402,1,1,100
18,15,137,112,1,1,1,1,1,1,1,100
19,15,1,1,9,19,3,15,13,1,2,100
20,1243,674,226,119,1550,1243,1243,1243,1243,1,100
21,44,1243,18,17,1243,5,1,80,1,1,100
22,1,1,1,1,85,6,9,3,2,1,100
23,1,1,2,1007,274,393,575,275,851,2575,100
24,226,2576,274,2575,304,226,562,1152,2577,393,100
25,217,274,1007,562,2576,274,15,562,1,1,100
26,1,52,675,1,1,1,575,274,19,1,100
27,19,38,13,1,1,2,6,10,3,2,100
28,2,3305,3306,208,767,496,2578,3,496,208,100
29,643,601,767,3,676,208,3,676,2578,3,100
30,208,576,535,576,497,497,535,576,535,497,100
31,733,576,535,733,497,497,535,576,733,535,100
32,576,497,77,2,25,25,25,25,25,25,100
33,77,643,498,577,10,213,3,2,6,3,100
34,1779,2,1779,1,19,38,14,13,1,13,100
35,1,1,1,1779,1779,1,1,1,1,2,100
36,1373,1373,1373,1373,1373,1373,1,1,1,1,100
37,3,9,2,1,1,19,13,1,1,1,100
38,6,1,13,152,7,1,19,3,38,7,100
39,13,19,152,13,38,1,13,13,14,38,100
40,19,1,13,19,7,1,6,9,15,37,100
41,23,23,23,23,23,23,23,23,23,23,100
42,3,2,19,13,38,19,13,8,1,13,100
43,13,19,1,13,13,19,13,1,13,19,100
44,38,14,14,13,1,13,7,13,1,19,100
45,152,13,625,707,199,625,707,937,625,199,100
46,625,707,937,707,199,937,707,937,707,937,100
47,3307,1551,2,2,1374,1374,937,707,625,937,100
48,199,625,707,182,161,81,310,164,167,161,100
49,167,164,182,81,43,9,19,6,13,38,100
50,152,19,7,1,13,707,199,707,937,7,100
51,13,38,152,13,1,13,13,13,19,13,100
52,1,13,19,38,15,19,38,13,1,14,100
53,13,19,38,152,13,1,13,13,19,11,100
54,1,13,13,19,13,1,13,14,19,38,100
55,1,19,13,14,13,1,13,1,1,1,100
56,1551,1,1,1,2,1,13,19,1,1,100
57,19,13,1,19,19,152,11,1,19,13,100
58,13,19,535,1374,1374,9,2,2579,2,2,100
59,67,85,52,366,3,2580,366,366,366,19,100
60,15,366,366,366,208,2,3308,3309,601,3310,100
61,3311,3,208,15,626,15,626,626,1375,2,100
62,1375,1375,1375,1375,1375,3,9,6,77,3312,100
63,10,208,2,9,3,1376,2,2581,2582,2582,100
64,3,1376,1376,2,1552,2,3,1552,1552,1552,100
65,1552,2,326,2,627,3,426,5,64,588,100
66,326,107,326,107,64,64,644,20,2,2583,100
67,2583,3313,3314,3315,3316,61,1553,61,342,3,100
68,2,645,645,645,2,326,3,627,426,64,100
69,5,106,3317,237,64,513,2584,245,64,20,100
70,2,333,103,136,333,103,3,103,333,5,100
71,37,23,23,23,10,213,3,2,9,23,100
72,37,23,15,2,3,72,3,3,6,3,100
73,9,2,9,23,37,9,9,9,9,207,100
74,37,23,23,2,136,1244,602,1554,103,646,100
75,646,136,3,2,9,10,9,9,9,60,100
76,60,265,39,39,39,39,39,69,69,160,100
77,67,72,112,15,137,15,37,23,23,80,100
78,85,52,37,23,23,37,23,37,37,23,100
79,60,60,265,39,39,67,15,72,15,15,100
80,15,2,326,426,3,64,5,627,588,326,100
81,326,107,15,107,1555,106,237,536,296,326,100
82,64,64,23,37,23,20,644,80,6,342,100
83,85,3,9,213,2,49,49,52,2,67,100
84,15,2,588,3,72,15,15,2,2087,3,100
85,2087,13,38,15,2087,38,2,3,2,852,100
86,852,226,2585,288,31,1780,1072,852,127,3,100
87,106,127,172,172,513,237,127,852,5,22,100
88,1781,107,20,938,119,852,852,288,852,3,100
89,127,768,127,23,37,127,23,852,5,22,100
90,1781,852,2,734,22,3,563,5,563,2586,100
91,20,39,3,9,10,80,6,2,39,85,100
92,563,3,563,15,2,3,588,72,15,15,100
93,23,37,23,52,9,6,3,2,2,39,100
94,561,561,561,3,2,852,2,226,852,2585,100
95,288,31,852,127,3,1780,127,127,127,80,100
96,1781,22,852,107,15,107,20,5,207,3,100
97,2,2586,6,10,9,2,9,60,60,265,100
98,39,39,80,85,52,39,39,39,67,15,100
99,72,52,3318,3319,3320,15,85,2088,647,2089,100
100,15,2,3,588,2089,15,2089,2587,1008,2587,100
101,3321,2088,2088,37,23,23,31,6,2,3,100
102,3,561,3,213,2,80,3,39,60,60,100
103,265,39,60,60,265,67,69,160,69,15,100
104,72,3,3,15,67,2,769,54,142,54,100
105,769,52,86,54,39,37,23,23,3,6,100
106,2,80,85,52,23,37,23,39,254,23,100
107,37,23,39,39,67,67,80,85,52,60,100
108,60,265,67,67,15,72,574,37,23,23,100
109,67,534,15,15,39,39,254,2,1782,3,100
110,767,496,208,15,2,31,208,3,208,496,100
111,3,15,15,2090,2091,2092,80,85,208,10,100
112,6,3,213,52,2,589,2,473,276,1556,100
113,1009,3,853,939,2,677,248,276,940,853,100
114,222,677,276,136,3,5,2093,735,276,2094,100
115,1245,854,735,3322,3323,1245,2094,2094,1245,1245,100
116,1245,735,3,603,2,735,6,10,2,1245,100
117,1245,3,2,646,103,3,646,602,1554,646,100
118,136,646,646,251,37,23,3,3,2,58,100
119,31,58,136,58,52,58,52,58,2,1374,100
120,6,1374,1557,602,2,1557,1557,1557,1557,3,100
121,2,474,474,474,474,1558,2,1558,474,6,100
122,10,2,645,645,645,645,645,645,645,645,100
123,85,1559,2,2,15,384,108,117,2,5,100
124,90,108,5,22,101,90,44,5,17,18,100
125,107,117,20,1559,31,6,10,2,3,2,100
126,58,136,3,2,589,589,2,2,2588,2588,100
127,2,1153,1153,1153,1153,2,117,90,108,678,100
128,384,564,603,90,5,108,564,5,22,90,100
129,5,90,564,5,22,108,44,17,18,5,100
130,564,17,2589,3324,18,3325,3326,20,588,3,100
131,2,3,2,15,37,23,23,6,2,3,100
132,10,21,4,2,941,31,941,5,1154,22,100
133,6,275,941,941,22,2590,148,941,941,20,100
134,2,1783,1783,2,1377,1377,1377,1377,1377,1377,100
135,6,10,2,1246,2,1246,2,2,2591,17,100
136,5,44,2591,3327,18,3,2,2,939,677,100
137,276,222,677,305,939,1073,1073,276,3,2093,100
138,677,939,1073,939,677,222,276,3,677,939,100
